a,b,c
5208587,1335087,1
5208587,1665288,1
5929312,1489075,1
5929312,1665288,1
3192463,2962275,5
3192463,3257550,5
3192463,3554412,5
3192463,4745037,5
3192463,5926137,5
3921125,3554412,5
3921125,4745037,5
3921125,4451350,5
3921125,5329237,5
3921125,5624512,5
4633912,2962275,5
4633912,3854450,5
4633912,4745037,5
5354637,3554412,5
5354637,3854450,5
5995987,4745037,5
5995987,5038725,5
3192463,1785938,5
3192463,2082800,5
3192463,2382838,5
3913187,1785938,5
3913187,2082800,5
5354637,1785938,5
3192463,5624512,5
5354637,5624512,5
2311400,1138237,1
2311400,1293812,1
174945,6235265,17
7485098,527050,5
7785592,536575,1
7485098,336550,5
7798882,307975,1
5526473,402339,17
174945,237215,1
174945,6235265,17
174945,6442593,1
174943,27536,1
3128990,1112837,1
3185296,1387475,17
3128990,3657600,1
6083036,3657600,1
6083036,1112837,1
174945,3657600,1
174945,1112837,1
3128990,1112837,17
3128990,3657600,17
174945,1112837,17
6083036,1112837,17
174945,3657600,17
6083036,3657600,17
6139341,1387475,17
6139341,3935412,17
231250,1387475,17
231250,3935412,17
3185296,3935412,17
258763,4660900,17
258763,5130800,17
6629400,4414837,9
7369175,5803900,1
6483350,5803900,1
7105650,4632325,1
8255000,5803900,1
2651125,3232150,1
1489075,3232150,1
1552575,2795588,1
358775,3232150,1
536575,2109788,1
2451100,5803900,1
1216025,5803900,1
2330450,1452562,9
1447800,1452562,9
2651125,1397000,1
1768475,1397000,1
6191250,2405063,9
6629400,1962150,9
7105650,2155825,1
8255000,3241675,1
8280400,2232025,1
7369175,3241675,1
7429500,2451100,1
6483350,3241675,1
6543675,2813050,1
3238500,2405063,9
3676650,2028825,9
4202112,1955800,1
5260975,3241675,1
3530600,3241675,1
4375150,3241675,1
1771270,4618037,17
1771270,5167312,17
2420558,4618037,17
2420558,5167312,17
1121982,4618037,17
1121982,5167312,17
5683250,4781550,1
3182938,5191125,1
5530850,5267325,1
3182938,4705350,1
4268787,5267325,1
3182938,4295775,1
4419600,4295775,1
5578475,4295775,1
4414837,4781550,1
4841875,3930650,1
5081587,3929062,1
5322832,4202112,9
5111750,4532312,17
5195887,4694237,9
5000626,5008562,17
5445125,5176837,9
5249862,5530850,17
5121607,5738812,17
8710727,240787,13
119062,230188,1
118710,1196482,5
118710,1196482,5
184668,1251645,1
184668,1582827,25
2304782,3602737,9
2304782,1555971,1
2304782,3634223,1
2304782,1078985,17
2304782,1477492,9
3951418,1263650,17
3951416,1477492,9
3951418,3634223,25
3951418,1555971,25
2112510,2036726,1
2112510,4114977,1
7172414,3203062,1
6980142,3683817,1
5760904,3654209,1
244475,898525,1
244475,913913,17
341313,1358900,17
341313,5634652,1
6781800,1464289,1
6781800,1716588,9
6781800,1762740,1
6781800,2005670,9
7823200,1762740,1
7823200,2005670,9
1270000,2908300,24-52
6096000,5060950,5
6153150,5060950,5
6096000,5060950,5
5738812,2092325,9
1714500,2797175,9
5559425,2289175,1
3144838,2884488,1
6245225,5321300,1
6264275,2701925,1
5619750,5321300,1
5459412,3406775,1
4814887,5321300,1
4654550,3511550,1
4010025,5321300,1
3849687,3378200,1
3205163,5321300,1
3044825,3463925,1
2408238,5321300,1
2239963,3606800,1
1482725,5321300,1
1435100,3892550,1
5670550,1397000,1
5670550,1668463,1
5937250,1666875,1
5937250,1395412,1
6943725,3073400,1
6943725,4076700,1
7985125,3073400,1
7985125,4076700,1
5526473,402339,17
174945,237215,1
174943,27536,1
1408955,5608637,1
2376834,5608637,1
3344714,5608637,1
5280471,5608637,1
6248350,5608637,1
4312592,5608637,1
8710727,240787,13
107912,285944,1
2163763,2505075,25
2163763,3157538,25
2163763,3563937,25
7650480,2505075,2
7650480,3276124,2
7650480,3805554,2
4540434,598775,1
119062,230188,1
119062,6435725,1
4618130,664724,25
372972,664724,25
0,0,1
4694237,554037,1
100011,554037,1
100011,1778000,1
100011,1778000,1
174625,1804989,1
174625,1978025,25
174625,877887,25
100011,557212,1
4694237,557212,1
119062,230188,1
2963863,831850,24-5
2924175,1603375,1
3028950,1231900,1
3779837,1068387,1
3486150,1120775,1
8261350,163512,13
7643813,376238,1
7643813,190501,1
7456488,163512,1
7530307,163512,5
7459663,347663,1
7459663,347663,1
4765675,689689,1
2862263,716676,1
174625,689689,1
119062,6450012,1
100011,4464050,1
100011,2889250,1
174625,4694237,25
1252537,4694237,1
100011,2889250,1
174625,2916238,1
3030538,4464050,1
3030538,2889250,1
3030538,2889250,1
5929312,4464050,1
5929312,2889250,1
5929312,2889250,1
3065463,2916238,1
5992812,2916238,1
5989637,4694237,25
7161213,4694237,1
3130550,4694237,25
1704975,5338762,24-5
1497012,5427662,1
1901825,5537200,1
1290637,5935662,1
2008188,5776912,1
1520825,6057900,1
1981200,5899150,1
1979613,6122987,1
2106613,5954712,1
2325688,5989637,1
2147888,5246687,1
2797175,2901950,1
2871788,2901950,5
5686425,2901950,1
5761037,2901950,5
100011,4468812,1
174625,4495800,1
3030538,4468812,1
5929312,4468812,1
3065463,4495800,1
5992812,4495800,1
2797175,4479925,1
2797175,4479925,5
5686425,4479925,1
5686425,4479925,1
8574088,2901950,1
8574088,2901950,5
8574088,4481512,1
8648700,4481512,5
123825,3327400,24-52
723900,4071937,1
271463,4071937,1
3070225,3673475,24-52
3670300,4076700,1
3217863,4076700,1
4306887,3676650,1
7207250,3676650,1
5942012,3548062,24-52
6542088,4075112,1
6089650,4075112,1
5276850,3541712,24-53
5019675,3495675,1
4843462,3797300,1
4843462,3625850,1
5367337,4071937,1
5446712,3495675,1
5418137,3617912,1
8191500,3541712,24-53
7934325,3495675,1
7758113,3797300,1
7758113,3625850,1
8281988,4071937,1
8361363,3495675,1
8332788,3617912,1
2317750,3611562,24-53
2354263,3859212,9
2060575,3508375,1
1884363,3797300,1
1884363,3625850,1
2408238,4113212,1
2487613,3508375,1
2459038,3889375,1
2459038,3732212,1
1390650,3676650,1
1368425,3234160,1
1362075,3386137,9
1814511,3129614,1
1814511,3386137,9
163512,3129614,1
163512,3386137,9
4284662,3235748,1
4278312,3386137,9
4730750,3129614,1
4730750,3386137,9
3079750,3129614,1
3079750,3386137,9
7183436,3235748,1
7177086,3386137,9
7629525,3129614,1
7629525,3386137,9
5978525,3129614,1
5978525,3386137,9
7161213,5099050,9
1252537,5099050,9
7635875,5338762,24-5
7154863,5589587,1
7297738,5842000,1
7716838,5773737,1
7477125,6065837,1
7820025,5895975,1
7885111,6122987,1
7902575,5113337,1
7829550,5456237,1
7545386,5281612,1
1597025,751175,1
1597025,1007413,9
6240464,729601,1
119062,230188,1
4111626,729601,1
4111626,1007413,9
174626,1148701,1
1597025,1151876,25
6242051,1151876,25
4013201,1151876,25
174626,2792022,1
1597025,2725347,25
6242051,2725347,25
4013201,2725347,25
174626,4461400,1
1597025,4394725,25
6242051,4394725,25
4013201,4394725,25
6240464,1007413,9
125412,6429378,1
166687,729601,1
828675,2673025,9
840580,4341991,9
864395,5899675,9
1497121,3539528,9
1497121,5152428,9
278805,1053395,17
1497121,1284366,9
7350520,2916550,13
5845929,1053395,17
5845929,5243708,25
278805,5243708,1
1497121,5243708,25
1497121,1053395,17
5845929,1347674,25
278805,1347674,1
6047611,2391816,13
7053119,2283636,13
1497121,1347674,25
278805,3630807,1
1497121,3630807,25
7785082,4598687,13
5845929,4241265,13
6639710,4520551,13
6645798,4174816,13
7990647,4052635,13
5845929,3630807,25
174943,27536,1
174945,237215,1
174945,6442593,1
249264,4609455,17
121750,234862,1
8144212,4893147,5
243774,1100068,1
243774,831191,1
243774,1449933,1
243774,1181056,1
6516155,1130103,1
6816700,1131335,17
6516157,1440474,25
6951368,5006616,5
6951371,5307926,5
6951368,5619560,5
6521136,5006616,5
6521136,5307926,5
6521136,5619560,5
6648791,4933965,5
6729554,4998889,5
6729554,5307926,5
6729554,5629945,5
6507553,4809635,1
6507554,4540758,1
3497455,1449137,1
3497455,1180261,1
5751410,1570199,5
8034684,4809635,1
8034684,4540758,1
2880257,3157116,1
2922241,3265818,5
2880257,1570199,1
2948463,1618710,5
2880257,2024701,1
2948463,2073212,5
2880257,2479203,1
2948463,2527715,5
2880257,4039901,1
2922241,4148604,5
2880257,3598509,1
2922241,3707210,5
1825666,1570199,1
1867649,1692856,1
1825988,3157116,1
1894194,3204924,5
1825666,2024701,1
1867649,2147359,1
1825666,2479203,1
1867649,2601860,1
1825988,4039901,1
1894194,4087710,5
1825988,3598509,1
1894194,3646316,5
2352962,1570199,1
2423217,1666043,5
2353124,3157116,1
2421328,3205627,5
2352962,2024701,1
2423217,2120544,5
2352962,2479203,1
2423217,2575047,5
2353124,4039901,1
2421328,4088412,5
2353124,3598509,1
2421328,3647020,5
771718,3157116,1
847212,3223562,5
771071,1570199,1
830649,1629779,5
771071,2024701,1
830649,2084280,5
771071,2479203,1
830649,2538783,5
771718,4039901,1
847212,4106348,5
771718,3598509,1
847212,3664954,5
1298368,1570199,1
1340482,1612313,5
1298853,3157116,1
1359770,3223562,5
1298368,2024701,1
1340482,2066816,5
1298368,2479203,1
1340482,2521318,5
1298853,4039901,1
1359770,4106348,5
1298853,3598509,1
1359770,3664954,5
243774,1570199,1
285757,1628031,5
243774,2024701,1
285757,2082532,5
243774,2479203,1
285757,2537035,5
244584,3157116,1
314838,3188767,5
244584,4039901,1
314838,4071553,5
244584,3598509,1
314838,3630159,5
3497455,1570199,5
4249051,1570199,5
3556872,2293539,5
4308468,2293539,5
5000092,1570199,5
3526887,2881989,5
5029525,2881989,5
3545201,3807200,1
4296797,3807200,1
4278483,2881989,5
5059510,2293539,5
3674941,4179849,5
4426536,4179849,5
5177578,4179849,5
5047839,3807200,1
119062,230188,1
4497387,650875,1
5375275,650875,1
7645400,650875,1
4497387,896937,1
5010150,896937,1
5522912,896937,1
6034087,896937,1
6546850,896937,1
7059613,896937,1
7572375,896937,1
8083550,896937,1
7645400,896937,9
4497387,896937,9
5375275,896937,9
4497387,1143000,9
8596313,1143000,9
242888,4421187,9
242888,4191000,9
242888,3584575,9
242888,2214563,9
242888,1984375,9
242888,1754188,9
242888,5370512,9
242888,6221412,9
242888,5830887,9
242888,5600700,9
242888,3365500,9
242888,3135313,9
242888,2905125,9
242888,5140325,9
242888,2674938,9
242888,4651375,9
242888,2444750,9
242888,1143000,9
4502150,1166812,1
6619875,3619500,1
4497387,1862138,9
8083549,5478462,9
5010148,2092325,9
8083549,5708650,9
4497387,2782888,9
6034087,2552700,9
4864098,3243263,9
6619875,4298950,9
6913561,4529137,9
6034087,3473450,9
5010150,2322513,9
4497387,1631950,9
4497387,3013075,9
7351713,5248275,9
6913561,4759325,9
8229600,5875337,1
7204075,5875337,1
6180137,5875337,1
5154612,5875337,1
8093075,6021387,1
7067550,6021387,1
6043612,6021387,1
5018087,6021387,1
242888,5394325,25
242888,4675187,25
242886,4445000,25
242888,4214812,25
242885,3619500,1
242885,5854700,1
242886,5624512,25
242888,928687,1
242885,3389312,25
242889,3159125,25
242885,2928938,25
242882,2238375,25
242886,2468563,25
242889,2698750,25
242889,1166812,1
242886,2008188,25
242889,5164137,25
242885,1778000,25
242886,1547812,25
119062,230188,1
119062,6435725,1
3012937,894433,17
3012937,2253350,17
3012937,3613946,17
3012937,4973702,17
1361738,4973702,17
156038,2254191,1
156038,3613946,1
156038,4973702,1
1361738,894433,17
1361738,2254191,17
156038,894433,1
1361738,3613946,17
3069681,969784,25
3069681,2328701,25
3069681,3689298,25
3069681,5049053,25
7084141,2551986,25
7246679,30366,1
7246679,30366,1
7246679,242733,1
174945,1044575,1
4096520,2197100,1
174943,2197100,1
174943,2197100,17
4096520,2197100,17
174945,1044575,17
174945,6109279,17
241210,1312632,25
241210,2478864,25
4189674,2478864,25
241210,4311987,1
241210,4272255,9
241210,4664412,9
2520220,5083175,1
609600,237215,1
174945,6578600,1
774700,4813301,24-5
1262062,5567362,1
1252537,4683125,1
1219200,5083175,1
1317625,5797550,1
609600,4692650,1
1133475,4914900,1
4189674,4311987,1
4189674,4272255,9
4189674,4664412,9
5003800,4813301,24-5
5332412,4960937,1
5159375,5053012,1
5241925,5514975,1
5078412,5278437,1
5773737,5267325,1
4922837,5737225,1
6022975,5299075,1
4651375,4895850,1
4972050,4692650,1
4745037,5303837,1
7118059,5083175,1
174943,27536,1
174945,237215,1
2768600,963612,1
2768599,3049565,1
223838,230189,1
117476,6435725,1
3163888,2024063,9
3163888,3048000,9
3163888,4071937,9
3163888,5095875,9
2914492,1073858,1
2914492,2108842,1
2914492,3128231,1
2914492,4220181,1
2914492,5385406,1
3163888,2081215,25
3163888,3157538,25
3163888,4219575,25
3163888,5397501,25
922337,1009234,1
922337,2049263,1
922337,3083320,1
922337,4117378,1
922337,5151439,1
1957390,1482727,1
1957390,1876425,1
1985965,1635126,1
1966913,1608137,1
1966913,1846263,1
2427290,1635126,1
2408238,1608137,1
2408238,1846263,1
2208213,1635126,1
2189163,1608137,1
2189163,1846263,1
1957390,2500313,1
1957390,2894015,1
1985965,2652713,1
1966913,2625726,1
1966913,2863851,1
2427290,2652713,1
2408238,2625726,1
2408238,2863851,1
2208213,2652713,1
2189163,2625726,1
2189163,2863851,1
1957390,3519487,1
1957390,3913189,1
1985965,3671887,1
1966913,3644901,1
1966913,3883026,1
2427290,3671887,1
2408238,3644901,1
2408238,3883026,1
2208213,3671887,1
2189163,3644901,1
2189163,3883026,1
1957390,4538664,1
1957390,4932364,1
1985965,4691062,1
1966913,4664076,1
1966913,4902201,1
2427290,4691062,1
2408238,4664076,1
2408238,4902201,1
2208213,4691062,1
2189163,4664076,1
2189163,4902201,1
1957390,5557839,1
1957390,5951539,1
1985965,5710237,1
1966913,5683251,1
1966913,5921376,1
2427290,5710237,1
2408238,5683251,1
2408238,5921376,1
2208213,5710237,1
2189163,5683251,1
2189163,5921376,1
3163888,1073150,25
3128990,695325,1
3185296,969962,17
3128990,3462337,1
6083036,3462337,1
6083036,695325,1
174945,3462337,1
174945,695325,1
3128990,695325,17
3128990,3462337,17
174945,695325,17
6083036,695325,17
174945,3462337,17
6083036,3462337,17
6139341,969962,17
6139341,3740150,17
231250,969962,17
231250,3740150,17
3185296,3740150,17
5526473,402339,17
258763,4565650,17
258763,5035550,17
174945,237215,1
174945,6250644,17
6146800,4165600,24-52
6629400,4057650,9
7105650,4356100,1
8255000,5832475,1
7369175,5832475,1
6483350,5832475,1
2641600,3117850,1
1479550,3117850,1
349250,3117850,1
527050,1957388,1
174945,6557756,1
2451100,5718175,1
1216025,5718175,1
2330450,1063625,9
1447800,1063625,9
2651125,1008062,1
1768475,1008062,1
174943,27536,1
6146800,1651000,24-52
6191250,1709738,9
6629400,1376362,9
7105650,1708150,1
8255000,3117850,1
8315325,1536700,1
7369175,3117850,1
7429500,2003425,1
6483350,3117850,1
6543675,2393950,1
3175000,1422400,24-52
3238500,1709738,9
3676650,1333500,9
4202112,1308100,1
5260975,3117850,1
4375150,3117850,1
3530600,3117850,1
1771270,4522787,17
1771270,5072062,17
2420558,4522787,17
2420558,5072062,17
1121982,4522787,17
1121982,5072062,17
4127500,3746500,24-58
3182938,5291137,1
5683250,5367337,1
4776787,5367337,1
3182938,4629150,1
5664200,4705350,1
4695825,4705350,1
3182938,4043362,1
5664200,4043362,1
4478337,4043362,1
3184525,5953125,1
3395662,5951537,1
5322832,3910012,9
5111750,4325937,17
5195887,4594225,9
5000626,5002212,17
5510441,5224462,9
5315179,5681662,17
5186924,5889625,17
8710727,240787,13
1279275,2119373,1
3749935,2119373,1
7372294,2119373,1
4430843,3708558,1
7372294,4363327,1
1309765,4363327,1
4430843,4405567,1
4430843,5008421,1
4350904,1344612,1
147667,1344612,1
147667,3839636,1
4350904,3839636,1
4350904,1344612,1
147667,3839636,1
4350904,3839636,1
4422173,1882134,1
4422173,4198942,1
6984610,4198942,1
212456,4198942,1
147667,1344612,1
212456,1885013,1
174945,237215,1
4394200,1955800,24-52
7993063,3495675,1
7083425,3495675,1
6272212,3495675,1
5338762,3495675,1
4668837,3495675,1
4660900,4851400,24-52
4991100,4591050,9
5035550,4622800,1
5962650,5972175,1
5414962,5984878,1
4800600,5972175,1
2876550,5210175,9
2876550,4552950,9
2009775,5448300,9
2009775,4629150,9
1193799,4508500,24-52
1274762,5545137,9
366713,5346700,1
366713,4700587,1
3248025,5972175,1
3279775,4329112,1
2376488,5972175,1
2408238,4405312,1
1504950,5972175,1
1536700,4510087,1
174945,6529237,1
3286125,2752725,9
3286125,2476500,9
3286125,2190750,9
2609850,2771775,9
2609850,2495550,9
2609850,2190750,9
1924050,2800350,9
1924050,2505075,9
1924050,2190750,9
1270000,2108200,24-52
1184275,2190750,9
711200,2092325,1
257175,2973388,1
257175,2563813,1
257175,2290763,1
3529012,3495675,1
2852738,3495675,1
2171700,3495675,1
1490662,3495675,1
6794500,4851400,24-52
7081838,4710112,9
7207250,4775200,1
8215313,5972175,1
7777163,5972175,1
7340599,5972175,1
6891338,5972175,1
174943,27536,1
8710727,240787,13
4740275,1085547,1
730250,1088722,1
685801,237215,1
174945,6583235,1
736601,1817384,24-52
1225550,4944760,1
1255712,1672923,1
2422525,1672923,1
2392363,4944760,1
822325,1185559,17
822325,1573358,1
7577138,1161747,17
7577138,1549546,1
3621087,2574623,17
7708900,2574623,17
3621087,4201810,17
7708900,4201810,17
3489325,1185559,17
3489325,1573358,1
4829175,1182384,17
4829175,1570183,1
4775200,1817384,24-52
6413500,1672923,1
6383337,4944760,1
5251450,1672923,1
5221287,4944760,1
815975,5317823,17
4840287,5314648,17
4819650,837897,1
6354762,837897,1
6621463,836309,1
5086350,836309,1
6575425,5568648,13
7013575,5567060,13
